id_empleado;mes;anio;comision;salario_del_mes;horas_ordinarias;horas_recargo_nocturno;horas_extras_diurnas;horas _extras_nocturnas;horas_festivo;horas_extra_diurna_festivo;horas_extra_nocturna_festivo;arl;salud_empleado;salud_empresa;pension_empleado;pension_empresa;cesantias;int_cesantias;primas;vacaciones;icbf;sena;cpf;bono
100100;mayo;2020;0;20000000;240;0;1;0;0;0;0;400000;800000;1700000;1200000;2400000;1666000;16660;1666000;832000;600000;400000;800000;0
100101;mayo;2020;0;15000000;240;0;2;0;0;0;0;300000;600000;1275000;900000;1800000;1249500;12495;1249500;624000;450000;300000;600000;0
100102;mayo;2020;0;5000000;240;0;0;0;0;0;0;100000;200000;425000;300000;600000;416500;4165;416500;208000;150000;100000;200000;0
100103;mayo;2020;0;15000000;240;0;3;0;0;0;0;300000;600000;1275000;900000;1800000;1249500;12495;1249500;624000;450000;300000;600000;0
100104;mayo;2020;0;10000000;240;0;2;0;0;0;0;200000;400000;850000;600000;1200000;833000;8330;833000;416000;300000;200000;400000;0
100105;mayo;2020;0;10000000;240;0;2;0;0;0;0;200000;400000;850000;600000;1200000;833000;8330;833000;416000;300000;200000;400000;0
100106;mayo;2020;0;2000000;240;0;1;0;0;0;0;40000;80000;170000;120000;240000;166600;1666;166600;83200;60000;40000;80000;0
100107;mayo;2020;0;5000000;240;0;5;0;0;0;0;100000;200000;425000;300000;600000;416500;4165;416500;208000;150000;100000;200000;0
100108;mayo;2020;0;5000000;240;0;0;0;0;0;0;100000;200000;425000;300000;600000;416500;4165;416500;208000;150000;100000;200000;0
100109;mayo;2020;0;5000000;240;0;0;0;0;0;0;100000;200000;425000;300000;600000;416500;4165;416500;208000;150000;100000;200000;0
100110;mayo;2020;0;5000000;240;0;3;0;0;0;0;100000;200000;425000;300000;600000;416500;4165;416500;208000;150000;100000;200000;0
100111;mayo;2020;0;2000000;240;0;3;0;0;0;0;40000;80000;170000;120000;240000;166600;1666;166600;83200;60000;40000;80000;0
100112;mayo;2020;0;2000000;240;0;1;0;0;0;0;40000;80000;170000;120000;240000;166600;1666;166600;83200;60000;40000;80000;0
100113;mayo;2020;0;2000000;240;0;2;0;0;0;0;40000;80000;170000;120000;240000;166600;1666;166600;83200;60000;40000;80000;0
